Region,Team,Player,ACS,K:D,KAST,HS,Clutches,K,D,A,Opening Duel Win
EMEA,Natus Vincere,Jady,189,0.9,71.0,0.29,3,199,221,110,48.9
North America,Knights,XXiF,204,0.96,73.0,0.22,3,245,256,118,60.3
North America,Evil Geniuses,Boostio,204,0.88,66.0,0.29,2,179,203,53,33.8
EMEA,BBL Esports,Muj,202,0.91,71.0,0.26,2,29,32,10,40.0
EMEA,M3 Champions,d3ffo,196,0.92,68.0,0.2,1,260,283,75,45.7
North America,Luminosity Gaming,dazzLe,187,0.8,70.0,0.2,8,246,306,126,50.8
North America,Luminosity Gaming,TiGG,189,0.83,69.0,0.23,7,261,313,167,40.7
North America,Evil Geniuses,YaBoiDre,198,0.98,70.0,0.33,7,183,186,54,30.0
North America,Luminosity Gaming,moose,183,0.87,68.0,0.24,5,256,295,104,46.8
EMEA,G2 Esports,keloqz,197,0.93,68.0,0.22,0,78,84,10,54.8
EMEA,LDN UTD,Boo,192,1.03,69.0,0.29,10,163,159,73,53.3
EMEA,LDN UTD,Destrian,170,0.8,69.0,0.27,4,138,172,68,34.4
North America,Knights,Genghsta,196,0.87,71.0,0.27,7,215,247,127,28.6
EMEA,LDN UTD,Dreamas,175,0.87,68.0,0.22,3,149,171,40,47.7
North America,Knights,Frosty,145,0.69,63.0,0.32,8,179,259,57,29.9
EMEA,Acend,purp0,191,0.85,74.0,0.34,1,41,48,18,50.0
EMEA,Guild Esports,koldamenta,160,0.78,69.0,0.2,6,201,257,138,34.5
North America,Evil Geniuses,jawgemo,191,0.79,66.0,0.2,0,160,202,70,44.7
EMEA,Guild Esports,Russ,186,0.9,67.0,0.33,3,231,256,98,50.7
EMEA,FunPlus Phoenix,baddyG,190,1.07,71.0,0.25,5,237,222,108,48.4
North America,100 Thieves,Ethan,190,0.91,70.0,0.22,4,179,197,62,41.0
EMEA,BBL Esports,Turko,190,1.12,79.0,0.35,4,121,108,67,40.0
EMEA,G2 Esports,AvovA,177,0.97,72.0,0.27,11,340,351,197,43.3
EMEA,BBL Esports,aimDLL,189,0.99,71.0,0.29,4,146,148,65,44.8
EMEA,Fnatic,braveaf,188,0.97,70.0,0.3,9,278,287,134,56.7
EMEA,G2 Esports,Meddo,187,1.14,75.0,0.26,9,382,336,101,50.0
North America,100 Thieves,bang,187,0.98,72.0,0.36,3,122,124,52,47.6
EMEA,FunPlus Phoenix,SUYGETSU,176,1.02,72.0,0.34,8,311,304,100,45.7
EMEA,Acend,zeek,186,0.8,68.0,0.19,3,128,160,75,41.4
EMEA,FunPlus Phoenix,ANGE1,171,0.76,67.0,0.29,1,156,205,69,36.9
EMEA,Fnatic,MAGNUM,184,0.92,71.0,0.22,13,263,287,106,34.3
EMEA,Acend,starxo,183,0.96,67.0,0.24,2,174,181,75,52.5
EMEA,Fnatic,Boaster,178,0.82,68.0,0.2,6,248,302,173,35.5
EMEA,BIG,Obnoks,183,0.82,67.0,0.31,2,181,220,78,51.3
EMEA,BIG,AslaN,183,0.84,65.0,0.28,1,179,212,59,47.2
North America,Evil Geniuses,pho,167,0.78,68.0,0.32,10,146,187,56,52.2
North America,Evil Geniuses,Reformed,180,0.82,66.0,0.23,4,161,196,51,50.0
